,,,,,,,X,,,,,,,Y,
Energy,Dispersion,SigmaXY,ThetaPhi,Emittance,Focus,Plane,FWHM X,mean X,stdev X,FWHM Y,mean Y,stdev Y
69.395,1.081,4.983,10.331,5.14823,positive,2,-3.703491702873359,50.028649696072044,-1.572741507929913,3.6985351984867925,50.03998381518642,1.570636656398332,
127.977,1.382,3.898,7.24,42.3266,positive,3,4.773664425354794,50.0625055520205,2.0272058881241692,4.8359008598240285,49.9954789181273,2.0536354933854377,
127.977,1.382,3.898,7.24,87.47498,positive,2,10.610454855664976,50.14034277233531,4.505883665561821,10.681271769415789,49.871260359738635,4.535957095895952,
98.736,1.311,4.31,8.414,36.26276,positive,2,4.548254135653089,50.05695329577508,1.9314821367645187,4.548774655266984,50.04619314309034,1.9317031829739186,
234.635,0.666,3.565,5.845,10.4186,positive,3,2.7550549381547764,50.05599359034287,1.1699740692011111,2.7495473846392207,50.02966002974685,1.1676352066584086,
234.635,0.666,3.565,5.845,64.59533,negative,4,12.47117048179786,49.69946373284402,5.296063564548097,13.014677909904146,50.28682216047673,5.526871882921753,
69.395,1.081,4.983,10.331,102.96453,negative,5,27.209720368884682,50.09451625423721,11.555002704639325,26.54082720904115,50.27544323053521,11.270947515305398,
234.635,0.666,3.565,5.845,64.59533,negative,1,9.9499123916576,49.973391293142505,4.225374720425344,10.136969015210314,50.093283245782885,4.30481103075009,
127.977,1.382,3.898,7.24,28.21774,positive,5,4.442508465000641,50.02842586309684,1.8865757028200445,4.386664051857606,50.03885777800486,1.862860562195348,
195.932,1.106,3.585,6.19,44.38536,positive,2,-6.00021966081423,50.0757852053213,-2.54808037235189,5.753392418488244,50.09165527510337,2.4432616011925616,
69.395,1.081,4.983,10.331,51.48227,positive,4,5.321537085436133,50.05572818828214,2.2598679656175187,5.46399509523598,50.05889023410011,2.3203648272617547,
234.635,0.666,3.565,5.845,10.4186,positive,4,-1.7834694744728619,50.04062167741393,-0.7573761994533981,1.8318022707021366,50.04841706342136,0.7779014229242979,
157.141,1.335,3.682,6.594,24.2785,negative,3,16.949693677662534,49.76732604425619,7.197933445584565,16.261141541447213,49.79601682403562,6.9055297865836645,
195.932,1.106,3.585,6.19,66.57804,positive,4,10.012635223377607,50.11250664487148,4.252010881339225,10.449148660168435,50.09383747853425,4.437382648279444,
98.736,1.311,4.31,8.414,108.78827,negative,4,17.895221429630357,50.34993510294611,7.59946552982434,17.795897315846926,49.989526262873746,7.557286103213404,
98.736,1.311,4.31,8.414,3.62628,negative,1,15.81279949062432,50.12645094058307,6.715134827002005,15.92897094489945,49.99104562510486,6.764468721292445,
234.635,0.666,3.565,5.845,2.08372,negative,1,12.263136271164711,50.018547680377324,5.207718817379273,12.255642710974941,49.93951258616331,5.2045365682754126,
69.395,1.081,4.983,10.331,154.4468,positive,2,13.009217751485437,50.183317098226055,5.524553147394869,12.841368696045935,50.07698839266778,5.453273609667884,
127.977,1.382,3.898,7.24,84.65321,negative,1,11.625973716441075,50.0578942641959,4.937138490080294,11.882263815256287,50.05255672008171,5.045975800601447,
195.932,1.106,3.585,6.19,33.28902,positive,5,-4.97671589308999,50.1092020605864,-2.1134346411967004,4.815507351810797,50.05561940636735,2.0449750941951743,
69.395,1.081,4.983,10.331,102.96453,positive,3,-8.446328186451616,50.02539643917402,-3.58685586311008,8.243073072031969,50.04832965428488,3.500540628517058,
69.395,1.081,4.983,10.331,5.14823,negative,2,-20.89042809280222,50.0980567909537,-8.871423514864201,21.09866345590268,50.1235378704029,8.959853684348005,
157.141,1.335,3.682,6.594,48.557,positive,3,-5.6780844825582495,50.021936761316866,-2.411280993102705,5.947791516766867,50.03574755107123,2.5258159999859298,
157.141,1.335,3.682,6.594,75.26335,negative,4,13.87814278477909,50.06264476809333,5.893554775258659,13.5683112826832,50.106615250123404,5.7619803306791235,
234.635,0.666,3.565,5.845,62.51161,negative,1,10.245839629329183,50.07374632006384,4.351044517296239,10.299295343741383,50.05160414353452,4.373745262332845,
127.977,1.382,3.898,7.24,84.65321,negative,4,-15.731205094931887,50.09005214976777,-6.680484582525857,15.80813805322643,49.944517161942834,6.713155279950072,
195.932,1.106,3.585,6.19,66.57804,positive,5,-10.986083829275666,49.918438793862485,-4.665399961472595,10.96898616655757,49.980940475461125,4.658139190826215,
234.635,0.666,3.565,5.845,41.6744,negative,3,-14.179069214382652,49.926345622051954,-6.0213475515469055,14.369347299434965,49.895051649971094,6.102151902257077,
157.141,1.335,3.682,6.594,36.41775,negative,2,14.472078789089437,50.02191843507405,6.145778320489824,14.371993506342754,50.089527707423,6.10327565243025,
157.141,1.335,3.682,6.594,72.8355,negative,5,-15.776389826020402,50.05076485622151,-6.699672934440463,15.556460624156948,50.15570033191108,6.606276806589497,
234.635,0.666,3.565,5.845,64.59533,positive,5,11.849353547027796,49.994614495323084,5.031999977504585,11.887782436736005,50.09142947633357,5.048319363315783,
69.395,1.081,4.983,10.331,102.96453,positive,5,11.20603743462717,50.02181862482935,4.758806452618979,11.0739869311822,50.1331873802404,4.70272928961364,
69.395,1.081,4.983,10.331,25.74113,positive,5,5.992380916107642,50.01450714718243,2.544751535632598,5.973458383077979,50.074111531736705,2.536715807320358,
157.141,1.335,3.682,6.594,72.8355,positive,3,9.817332882653504,50.05105206638419,4.16907290753079,9.752015305230572,50.09773889808296,4.141334850191342,
195.932,1.106,3.585,6.19,33.28902,negative,4,15.688084601018375,49.90572097938628,6.662172838890086,15.540013631861655,49.77367653563877,6.599292352582663,
157.141,1.335,3.682,6.594,48.557,positive,5,7.149080328713712,50.023624080600335,3.035960730726054,7.1618704041685985,50.05564161450215,3.0413922219163405,
234.635,0.666,3.565,5.845,31.2558,positive,4,4.221994815563682,50.008227996921136,1.7929313808237142,4.293011061354483,50.0973866765032,1.8230894604019379,
195.932,1.106,3.585,6.19,11.09634,positive,3,2.382663025499868,50.046259749494034,1.011832438211257,2.5638659155251764,50.03620945920518,1.088782875626455,
157.141,1.335,3.682,6.594,48.557,positive,1,6.565031085396551,50.10881745758555,2.7879357420573085,6.539010892442565,50.093206967256855,2.7768858894354365,
157.141,1.335,3.682,6.594,12.13925,negative,5,21.100819779379094,50.65463135990764,8.96076939841137,20.991251621142524,50.378447041702266,8.914239689630765,
127.977,1.382,3.898,7.24,14.10887,negative,4,20.533654056174548,49.797271222396155,8.7199142416233,20.237071176381757,49.599894244842815,8.593966016808968,
98.736,1.311,4.31,8.414,72.52551,negative,4,20.418523998355187,50.081170504582154,8.671022591453706,20.62274696860954,50.16874982643587,8.757748840075395,
127.977,1.382,3.898,7.24,28.21774,positive,2,4.476560823851788,49.937125913466566,1.9010365312773008,4.091388587893271,49.9628352724203,1.7374675504897532,
234.635,0.666,3.565,5.845,2.08372,positive,3,-2.3991160016819832,50.08077970726426,-1.0188194333624865,2.417732364130554,50.07151047964597,1.0267251418933898,
234.635,0.666,3.565,5.845,31.2558,negative,2,13.377124885316233,50.05936863419406,5.68079025196035,13.563459340566398,49.94760378692088,5.759919883033123,
69.395,1.081,4.983,10.331,51.48227,negative,3,23.399085141396252,49.98882871299404,9.936761143789813,23.262317517757232,50.09230990697167,9.878680787224916,
127.977,1.382,3.898,7.24,84.65321,negative,5,16.954474166653448,49.95246197660781,7.199963549623512,16.626237251564476,49.93002100787881,7.060572979261286,
69.395,1.081,4.983,10.331,77.2234,negative,5,27.717315983497627,50.12774736908756,11.770560550151872,27.496846494199403,50.05801673496021,11.676934981399441,
157.141,1.335,3.682,6.594,72.8355,negative,1,-11.14692246384578,49.928119926809316,-4.733702422220902,10.833555356551374,50.10810106866325,4.60062653157439,
234.635,0.666,3.565,5.845,10.4186,positive,5,1.902360761996516,50.05423117132129,0.8078651104112944,1.8823409836661056,50.04863284104246,0.79936342095554,
195.932,1.106,3.585,6.19,22.19268,positive,4,3.130539517401445,50.06348053011788,1.329429045949314,2.876451035817814,50.02920162241102,1.2215266841420986,
127.977,1.382,3.898,7.24,28.21774,negative,1,13.959606530027862,49.99102549575177,5.928149537127511,13.788528928786437,50.10690099005093,5.855498950563291,
195.932,1.106,3.585,6.19,2.21927,negative,3,15.487623526957314,50.1147877145095,6.577044134090927,16.171949356965758,50.036443088321036,6.867653030816102,
234.635,0.666,3.565,5.845,2.08372,positive,1,-5.041638454245916,50.041614615328555,-2.14100494914469,5.118383907235964,50.07181072505846,2.173596019719706,
195.932,1.106,3.585,6.19,66.57804,negative,5,15.106555142238838,50.13449840326853,6.415217913299999,15.150965380566808,50.05049643136196,6.434077365622052,
98.736,1.311,4.31,8.414,54.39413,negative,1,15.407796362534452,50.158082829291054,6.543144370024822,15.27171187702712,50.03656805803693,6.485354117983319,
195.932,1.106,3.585,6.19,11.09634,negative,4,-16.832074139329603,50.184733626113406,-7.14798460137999,17.26586086649918,50.012814374902455,7.332198431501266,
195.932,1.106,3.585,6.19,68.79731,positive,4,11.210760750132856,50.03420026434664,4.760812277107549,11.03459524682514,50.0109166786129,4.6860010390798115,
195.932,1.106,3.585,6.19,33.28902,negative,3,-15.300329808302674,49.98137107493563,-6.497507137889704,14.920881576414791,50.17921317099011,6.33636893851486,
98.736,1.311,4.31,8.414,36.26276,positive,4,4.0703582398673674,50.04934770671462,1.728536707944355,4.0595206819690395,50.047388773730795,1.7239343816753183,
127.977,1.382,3.898,7.24,28.21774,positive,4,3.568458331596404,50.03371446701005,1.515397626803297,3.4934030248205943,49.99583182630507,1.4835243013506856,
195.932,1.106,3.585,6.19,33.28902,positive,4,4.347391001580991,50.030839139932986,1.8461826913457582,4.308997212973351,50.06128864962621,1.82987821172641,
98.736,1.311,4.31,8.414,54.39413,positive,5,7.061957541573475,50.030507599088644,2.9989627745768113,7.125199637340948,50.02190309962346,3.0258194485055836,
195.932,1.106,3.585,6.19,33.28902,negative,2,13.55465686337767,50.082560814843426,5.7561817833266815,13.367883070884234,50.08439317617099,5.67686558131656,
195.932,1.106,3.585,6.19,66.57804,negative,4,13.957491723459327,50.282190500038645,5.927251453821695,13.912026158170582,50.01835770593973,5.907943841587643,
127.977,1.382,3.898,7.24,84.65321,positive,4,11.502092472293342,50.05704852455689,4.8845305216125965,11.662646541573292,50.04298190413204,4.952712137579961,
98.736,1.311,4.31,8.414,108.78827,negative,1,12.986932086949627,50.071634440519325,5.515089216472578,13.034891236693257,50.140661581912966,5.535455765539858,
69.395,1.081,4.983,10.331,77.2234,positive,1,7.378281716014611,50.026946216368934,3.133294426709109,7.468401260335918,50.02607532165173,3.1715649992933237,
98.736,1.311,4.31,8.414,72.52551,negative,5,22.53990318707717,50.02659272506447,9.571897055833688,22.140233710746134,50.07266504003874,9.402171611494026,
234.635,0.666,3.565,5.845,62.51161,positive,3,9.072561619856554,49.94403244980942,3.8527949804045156,9.42661629627861,49.983245745747,4.003149437862498,
234.635,0.666,3.565,5.845,10.4186,positive,1,5.051756301130386,50.11804417491197,2.1453016396850626,4.977209744223795,50.15175399829129,2.113644362248936,
234.635,0.666,3.565,5.845,64.59533,negative,3,11.708143642864535,49.99067153491765,4.97203314203522,11.895761458721,50.23326081054124,5.051707770817479,
157.141,1.335,3.682,6.594,48.557,negative,1,-12.788697945045413,49.9755520056755,-5.430906210737818,12.625532230076356,49.96720193119268,5.36161552152045,
157.141,1.335,3.682,6.594,72.8355,negative,2,12.017545723612638,50.003444271743376,5.103425226606352,12.03721985568294,50.1302460024784,5.111780132360685,
195.932,1.106,3.585,6.19,2.21927,negative,1,12.649302695671143,49.908311268631856,5.371709994764371,12.839814204722394,50.0508652625712,5.45261347236385,
195.932,1.106,3.585,6.19,33.28902,positive,2,-4.928446447044676,50.02622896736389,-2.0929363203009497,4.880335890695834,49.99492786254954,2.072505474221095,
98.736,1.311,4.31,8.414,3.62628,positive,3,-1.9050820778583504,50.03448337930773,-0.8090207566920122,1.9161870593515709,50.05463777293093,0.8137366482722825,
157.141,1.335,3.682,6.594,12.13925,negative,1,-12.974701703183168,50.03545824479346,-5.509895406481726,12.976925462015585,50.037484956550465,5.510839757947845,
69.395,1.081,4.983,10.331,51.48227,positive,1,6.6990148745142,50.0599619812106,2.8448339028852554,6.694941598135136,50.023211376590055,2.8431041269471446,
157.141,1.335,3.682,6.594,2.42785,negative,1,13.14695181029158,50.005751550500875,5.583043914681323,13.145713835324294,50.14431920436269,5.582518190642218,
195.932,1.106,3.585,6.19,2.21927,positive,2,3.582051054009733,50.07260422794518,1.5211699736749333,3.415452624900028,50.0432522306797,1.4504215325717802,
127.977,1.382,3.898,7.24,84.65321,positive,1,-9.104293503416793,50.02912127808863,-3.8662703853477125,9.21267764375585,49.999881911768064,3.9122972837420797,
195.932,1.106,3.585,6.19,44.38536,negative,4,-15.727229090513992,49.95652553407407,-6.6787961145379615,15.951511508031963,49.90581953202209,6.774040898603688,
195.932,1.106,3.585,6.19,66.57804,negative,3,12.988701958992602,50.32310326736698,5.515840818325379,12.920965349068585,50.00870205369137,5.487075483722008,
127.977,1.382,3.898,7.24,14.10887,positive,1,5.4236638241175035,50.061705195367765,2.3032375675715575,5.343813472157579,50.05721225999818,2.2693279565812716,
157.141,1.335,3.682,6.594,12.13925,negative,2,14.155856629749378,50.301029220266294,6.011489990550951,14.58228619957858,49.90385510727274,6.192579497018252,
157.141,1.335,3.682,6.594,2.42785,negative,3,17.572933421174337,50.485415082856825,7.462601249012373,17.401803831059524,49.9298571138875,7.389928584618449,
234.635,0.666,3.565,5.845,31.2558,positive,1,5.912206179888933,50.01973155225558,2.5107041701583714,5.87698768389311,50.101547169867466,2.4957481246361093,
234.635,0.666,3.565,5.845,31.2558,negative,5,17.76363975130157,50.09609897093723,7.5435874602096025,17.445408410961356,50.07454494919914,7.408445902395684,
127.977,1.382,3.898,7.24,42.3266,negative,5,20.583322796774606,50.231023965754936,8.74100679326253,20.641486997431937,50.15700081906496,8.765707065326964,
69.395,1.081,4.983,10.331,5.14823,positive,1,-5.962125003744583,50.05403753124699,-2.531902923282055,6.034785118641715,50.03646557811002,2.5627590957370967,
234.635,0.666,3.565,5.845,31.2558,positive,5,4.596718163304626,50.02690244586457,1.9520630895637106,4.676955414470162,50.05688822684859,1.986137002917514,
234.635,0.666,3.565,5.845,10.4186,negative,3,14.931584023330107,50.14054424876914,6.340913887943819,15.145827608194317,49.99437901748557,6.431895536009137,
127.977,1.382,3.898,7.24,28.21774,negative,4,19.219651960699576,50.102197295501966,8.161904178995913,19.25633361933422,50.04196559154434,8.177481577770605,
69.395,1.081,4.983,10.331,5.14823,positive,3,-2.0538804392585326,50.05304751418674,-0.8722101406737441,2.0820056995954053,50.04639495967649,0.8841539407148824,
157.141,1.335,3.682,6.594,2.42785,positive,3,-1.9887354462719775,50.05792656771313,-0.8445453738202724,2.0676465920051244,50.04996691056834,0.8780561372537474,
195.932,1.106,3.585,6.19,33.28902,negative,5,-17.696699434476145,50.10104447525331,-7.515160283028768,18.185963839740847,49.94003548772212,7.722933514413473,
157.141,1.335,3.682,6.594,75.26335,positive,2,-9.837316410021156,50.212957506958,-4.177559202489025,9.820888617714179,50.06369968807334,4.1705829020359175,
98.736,1.311,4.31,8.414,112.41454,negative,2,13.910341807296206,50.008165761990774,5.907228557540431,13.548234396389153,50.05558866310813,5.753454389497687,
69.395,1.081,4.983,10.331,159.59503,positive,3,-15.356322609802172,49.98482279387302,-6.5212852937838335,15.49853169180197,50.07528925928441,6.581676444624584,
157.141,1.335,3.682,6.594,12.13925,positive,3,2.39884439260952,50.050276249854235,1.0187040906274503,2.3371833102687685,50.05005855683083,0.9925188169987975,
127.977,1.382,3.898,7.24,87.47498,positive,4,12.482468637787077,50.00294862062691,5.300861490482027,12.85528685478416,49.968353841950915,5.459184157798607,
157.141,1.335,3.682,6.594,24.2785,negative,2,14.200353959623154,50.1501119482993,6.030386427562067,14.387814553127853,50.19938117426109,6.109994289590561,
69.395,1.081,4.983,10.331,154.4468,positive,4,15.893545885661997,50.05251513508337,6.749424955691352,16.235998819118596,50.08605663221301,6.89485256459937,
195.932,1.106,3.585,6.19,66.57804,negative,1,10.264840483419986,50.043609155862974,4.359113505783925,10.930373940655993,50.04025009495613,4.641741948639372,
69.395,1.081,4.983,10.331,25.74113,negative,2,21.41441114976647,50.097361481593175,9.093940525635498,21.205387953317896,49.956657228900696,9.00517579128499,
98.736,1.311,4.31,8.414,36.26276,positive,5,5.534805728425447,49.98327905377896,2.350435590464348,5.485940931744872,49.99324958493673,2.3296844452797996,
98.736,1.311,4.31,8.414,36.26276,negative,2,17.3254288968117,49.68336512589326,7.35749486020541,18.115033012682648,49.85298746988008,7.692811709139905,
98.736,1.311,4.31,8.414,72.52551,negative,1,14.891287509366007,50.11702834756302,6.32380138838373,14.883331457100862,50.104407865195114,6.320422735306974,
195.932,1.106,3.585,6.19,33.28902,positive,3,4.452025933749695,50.05135701090355,1.8906174340707045,4.509114250238135,50.043379718737256,1.9148608163063254,
69.395,1.081,4.983,10.331,77.2234,positive,3,6.298365858320029,50.10599586939958,2.6746924827246596,6.2426572786336285,50.03530186392602,2.6510350257489503,
127.977,1.382,3.898,7.24,28.21774,negative,3,17.49989379517082,50.007888983164484,7.4315839116573885,17.419700107670003,49.99259879536722,7.397528498246136,
157.141,1.335,3.682,6.594,72.8355,positive,4,11.046809459451813,50.22711488554196,4.691187981761429,10.316435029018265,50.15764113710065,4.381023878468772,
234.635,0.666,3.565,5.845,20.8372,negative,3,14.878871391053245,50.13210117487523,6.318528703521847,14.75004519280916,50.16090425668872,6.263820788520961,
127.977,1.382,3.898,7.24,2.82177,negative,3,17.596994659411802,49.67064276595964,7.472819203079584,16.82440814691682,49.70416570108749,7.14472912642977,
69.395,1.081,4.983,10.331,77.2234,positive,5,8.91381045971261,50.03419008502236,3.7853789959710427,9.128703718238587,50.04593190094871,3.876636537386864,
234.635,0.666,3.565,5.845,62.51161,positive,2,-8.780812644946227,50.05863526970037,-3.728899543462811,8.778050553480128,50.082293884644535,3.7277265812298825,
127.977,1.382,3.898,7.24,56.43547,negative,5,20.215893706925726,50.04221835573229,8.584972697012793,20.110885883823084,50.037857285973715,8.540379600740225,
127.977,1.382,3.898,7.24,42.3266,negative,4,19.28370410661927,50.31328439817256,8.18910485247973,18.87464850286608,49.76663332454901,8.0153934528903,
98.736,1.311,4.31,8.414,112.41454,positive,5,14.916463334396223,50.186718439330114,6.334492667910745,14.860242732957074,50.043489315115295,6.310617773465719,
195.932,1.106,3.585,6.19,68.79731,negative,4,-13.073401236931668,50.097081719904295,-5.551809596115028,13.282727892152375,50.08916818283712,5.640703198637835,
127.977,1.382,3.898,7.24,2.82177,negative,5,19.673139797282232,49.84908971952918,8.354484371191708,20.430402846192408,50.15540446974742,8.676067116609651,
234.635,0.666,3.565,5.845,62.51161,negative,4,13.260888621402552,50.09129122783176,5.631428835316185,13.691209797858368,49.868541886493794,5.8141709690242775,
157.141,1.335,3.682,6.594,36.41775,positive,1,-5.840651819695538,50.07296437495545,-2.480317572488338,5.991917823843155,50.024340998347185,2.5445548767806843,
157.141,1.335,3.682,6.594,75.26335,positive,4,-11.687559766054022,50.18399391612067,-4.963291899971981,11.743950246766264,50.0757271009994,4.987238936116131,
234.635,0.666,3.565,5.845,2.08372,negative,5,17.54697191514942,50.265049328857636,7.451576318646772,19.25072356497656,49.97899255692148,8.1750991867575,
157.141,1.335,3.682,6.594,36.41775,negative,3,16.215556957258663,49.98997022051191,6.886171631246246,16.0729531630564,49.97669619078856,6.82561286013946,
157.141,1.335,3.682,6.594,48.557,negative,4,16.780929635784826,49.974746039622914,7.126265345585539,16.67031467809687,49.97827311016632,7.079291098223573,
157.141,1.335,3.682,6.594,12.13925,positive,1,5.1598523711575455,50.106904397776226,2.191206204840133,5.1000773815709435,50.07647861691095,2.1658218878762288,
98.736,1.311,4.31,8.414,36.26276,negative,1,-15.395929666535993,49.9742363903771,-6.538105005323591,15.465537216054715,50.076436308923526,6.567664861582603,
234.635,0.666,3.565,5.845,10.4186,negative,5,18.048452309532774,50.09810486885039,7.664537247126199,17.36065039837434,49.87416066859353,7.372452182085247,
195.932,1.106,3.585,6.19,22.19268,positive,1,-5.210021335077467,50.08586653824911,-2.212511183572901,5.332159716416543,50.06694356474306,2.2643790200511904,
234.635,0.666,3.565,5.845,41.6744,positive,5,6.1577672726916095,50.091934953569016,2.614985252544424,6.240284517956268,50.087427072308756,2.6500273984866096,
157.141,1.335,3.682,6.594,2.42785,positive,1,4.966589376679538,50.03984626555334,2.109134269016281,4.960182729543714,50.05229507913914,2.106413593317358,
69.395,1.081,4.983,10.331,154.4468,negative,5,23.20371464580637,50.043948459401015,9.853794227028356,22.72205894446206,50.01597927873924,9.649252142204034,
127.977,1.382,3.898,7.24,87.47498,negative,2,12.129864945294955,50.06828859090167,5.151123214410971,12.405949734229715,49.98643460453194,5.268366627411973,
234.635,0.666,3.565,5.845,41.6744,positive,2,5.6576655694637745,49.996249233571724,2.402609805275936,5.8516462908631475,50.08011930154998,2.4849865342547766,
69.395,1.081,4.983,10.331,25.74113,positive,3,2.8781313713739793,50.02573553905613,1.2222402630261506,2.8896306682474076,50.04726354986224,1.2271236063561268,
234.635,0.666,3.565,5.845,10.4186,negative,2,-13.554887036041057,50.09240584706836,-5.756279529489153,13.383928600106128,49.863244308835995,5.683679548202025,
