ene, dsp, sxy, tpi,, emt, fit^2, , , poly^2, , , fit^3, , , , poly^3, , , , 
70,0.1,3,0.001,2.5,0.0075,7.98E+00,-1.50E-03,3.81E-06,3.81E-06,-1.50E-03,7.98E+00,7.71E+00,1.50E-04,1.75E-06,6.87E-10,6.87E-10,1.75E-06,1.50E-04,7.71E+00,
70,0.1,3,0.001,3,0.009,7.60E+00,-6.25E-04,3.38E-06,3.38E-06,-6.25E-04,7.60E+00,8.29E+00,-4.79E-03,8.59E-06,-1.74E-09,1.74E-09,8.59E-06,-4.79E-03,8.29E+00,
70,0.1,3,0.001,3.14,0.00942,8.03E+00,-1.41E-03,3.61E-06,3.61E-06,-1.41E-03,8.03E+00,7.91E+00,-7.23E-04,2.74E-06,2.89E-10,2.89E-10,2.74E-06,-7.23E-04,7.91E+00,
70,0.1,3,0.01,2.5,0.075,7.95E+00,-2.25E-03,4.10E-06,4.10E-06,-2.25E-03,7.95E+00,7.66E+00,-4.78E-04,1.88E-06,7.39E-10,7.39E-10,1.88E-06,-4.78E-04,7.66E+00,
70,0.1,3,0.01,3,0.09,7.41E+00,-1.09E-03,3.79E-06,3.79E-06,-1.09E-03,7.41E+00,7.49E+00,-1.58E-03,4.41E-06,-2.07E-10,2.07E-10,4.41E-06,-1.58E-03,7.49E+00,
70,0.1,3,0.01,3.14,0.0942,7.44E+00,-2.89E-03,4.79E-06,4.79E-06,-2.89E-03,7.44E+00,7.22E+00,-1.59E-03,3.17E-06,5.41E-10,5.41E-10,3.17E-06,-1.59E-03,7.22E+00,
70,0.1,3,0.1,2.5,0.75,6.95E+00,-7.82E-04,3.84E-06,3.84E-06,-7.82E-04,6.95E+00,7.08E+00,-1.58E-03,4.85E-06,-3.35E-10,3.35E-10,4.85E-06,-1.58E-03,7.08E+00,
70,0.1,3,0.1,3,0.9,7.76E+00,-1.12E-03,3.67E-06,3.67E-06,-1.12E-03,7.76E+00,7.67E+00,-5.81E-04,2.99E-06,2.26E-10,2.26E-10,2.99E-06,-5.81E-04,7.67E+00,
70,0.1,3,0.1,3.14,0.942,7.17E+00,-7.34E-04,3.60E-06,3.60E-06,-7.34E-04,7.17E+00,7.30E+00,-1.50E-03,4.56E-06,-3.20E-10,3.20E-10,4.56E-06,-1.50E-03,7.30E+00,
70,0.1,4,0.001,2.5,0.01,9.63E+00,-5.20E-04,3.00E-06,3.00E-06,-5.20E-04,9.63E+00,9.64E+00,-5.86E-04,3.08E-06,-2.76E-11,2.76E-11,3.08E-06,-5.86E-04,9.64E+00,
70,0.1,4,0.001,3,0.012,9.88E+00,-1.60E-03,3.89E-06,3.89E-06,-1.60E-03,9.88E+00,9.97E+00,-2.13E-03,4.55E-06,-2.22E-10,2.22E-10,4.55E-06,-2.13E-03,9.97E+00,
70,0.1,4,0.001,3.14,0.01256,9.76E+00,-6.76E-04,3.41E-06,3.41E-06,-6.76E-04,9.76E+00,9.75E+00,-6.36E-04,3.36E-06,1.68E-11,1.68E-11,3.36E-06,-6.36E-04,9.75E+00,
70,0.1,4,0.01,2.5,0.1,1.05E+01,-2.35E-03,3.97E-06,3.97E-06,-2.35E-03,1.05E+01,1.02E+01,-1.65E-04,1.23E-06,9.14E-10,9.14E-10,1.23E-06,-1.65E-04,1.02E+01,
70,0.1,4,0.01,3,0.12,9.97E+00,-1.52E-03,3.61E-06,3.61E-06,-1.52E-03,9.97E+00,9.99E+00,-1.60E-03,3.71E-06,-3.56E-11,3.56E-11,3.71E-06,-1.60E-03,9.99E+00,
70,0.1,4,0.01,3.14,0.1256,9.93E+00,-2.61E-03,4.23E-06,4.23E-06,-2.61E-03,9.93E+00,9.75E+00,-1.53E-03,2.88E-06,4.53E-10,4.53E-10,2.88E-06,-1.53E-03,9.75E+00,
70,0.1,4,0.1,2.5,1,1.00E+01,-2.82E-03,4.15E-06,4.15E-06,-2.82E-03,1.00E+01,9.74E+00,-1.11E-03,2.01E-06,7.15E-10,7.15E-10,2.01E-06,-1.11E-03,9.74E+00,
70,0.1,4,0.1,3,1.2,1.05E+01,-1.77E-03,3.62E-06,3.62E-06,-1.77E-03,1.05E+01,1.06E+01,-2.64E-03,4.71E-06,-3.62E-10,3.62E-10,4.71E-06,-2.64E-03,1.06E+01,
70,0.1,4,0.1,3.14,1.256,9.85E+00,-8.64E-04,3.35E-06,3.35E-06,-8.64E-04,9.85E+00,1.00E+01,-1.86E-03,4.59E-06,-4.16E-10,4.16E-10,4.59E-06,-1.86E-03,1.00E+01,
70,0.1,5,0.001,2.5,0.0125,1.31E+01,-1.40E-03,2.92E-06,2.92E-06,-1.40E-03,1.31E+01,1.28E+01,6.58E-04,3.47E-07,8.60E-10,8.60E-10,3.47E-07,6.58E-04,1.28E+01,
70,0.1,5,0.001,3,0.015,1.23E+01,-1.69E-03,3.60E-06,3.60E-06,-1.69E-03,1.23E+01,1.22E+01,-1.34E-03,3.16E-06,1.47E-10,1.47E-10,3.16E-06,-1.34E-03,1.22E+01,
70,1,3,0.01,3.14,0.0942,7.51E+00,-1.48E-03,3.81E-06,3.81E-06,-1.48E-03,7.51E+00,7.40E+00,-8.13E-04,2.98E-06,2.78E-10,2.78E-10,2.98E-06,-8.13E-04,7.40E+00,
70,1,3,0.1,2.5,0.75,6.82E+00,-6.05E-04,3.86E-06,3.86E-06,-6.05E-04,6.82E+00,7.13E+00,-2.42E-03,6.12E-06,-7.56E-10,7.56E-10,6.12E-06,-2.42E-03,7.13E+00,
70,1,3,0.1,3,0.9,7.19E+00,-5.59E-04,4.10E-06,4.10E-06,-5.59E-04,7.19E+00,7.38E+00,-1.67E-03,5.50E-06,-4.66E-10,4.66E-10,5.50E-06,-1.67E-03,7.38E+00,
70,1,3,0.1,3.14,0.942,7.67E+00,-5.12E-04,3.47E-06,3.47E-06,-5.12E-04,7.67E+00,7.70E+00,-6.89E-04,3.69E-06,-7.41E-11,7.41E-11,3.69E-06,-6.89E-04,7.70E+00,
70,1,4,0.001,2.5,0.01,1.00E+01,-1.24E-03,3.31E-06,3.31E-06,-1.24E-03,1.00E+01,1.01E+01,-1.48E-03,3.62E-06,-1.02E-10,1.02E-10,3.62E-06,-1.48E-03,1.01E+01,
70,1,4,0.001,3,0.012,1.04E+01,-2.12E-03,3.81E-06,3.81E-06,-2.12E-03,1.04E+01,1.02E+01,-7.58E-04,2.11E-06,5.68E-10,5.68E-10,2.11E-06,-7.58E-04,1.02E+01,
70,1,4,0.001,3.14,0.01256,9.72E+00,-1.45E-03,4.18E-06,4.18E-06,-1.45E-03,9.72E+00,9.84E+00,-2.15E-03,5.05E-06,-2.90E-10,2.90E-10,5.05E-06,-2.15E-03,9.84E+00,
70,1,4,0.01,2.5,0.1,1.05E+01,-2.76E-03,4.39E-06,4.39E-06,-2.76E-03,1.05E+01,1.01E+01,-4.65E-04,1.51E-06,9.58E-10,9.58E-10,1.51E-06,-4.65E-04,1.01E+01,
70,1,4,0.01,3,0.12,9.60E+00,-1.68E-03,3.86E-06,3.86E-06,-1.68E-03,9.60E+00,9.92E+00,-3.57E-03,6.23E-06,-7.90E-10,7.90E-10,6.23E-06,-3.57E-03,9.92E+00,
70,1,4,0.01,3.14,0.1256,1.00E+01,-1.68E-03,3.67E-06,3.67E-06,-1.68E-03,1.00E+01,9.92E+00,-9.75E-04,2.79E-06,2.96E-10,2.96E-10,2.79E-06,-9.75E-04,9.92E+00,
70,1,4,0.1,2.5,1,9.31E+00,-1.69E-03,3.68E-06,3.68E-06,-1.69E-03,9.31E+00,9.57E+00,-3.25E-03,5.64E-06,-6.53E-10,6.53E-10,5.64E-06,-3.25E-03,9.57E+00,
70,1,4,0.1,3,1.2,9.66E+00,-1.40E-03,3.46E-06,3.46E-06,-1.40E-03,9.66E+00,9.45E+00,-1.39E-04,1.89E-06,5.25E-10,5.25E-10,1.89E-06,-1.39E-04,9.45E+00,
70,1,4,0.1,3.14,1.256,9.91E+00,-1.59E-03,3.96E-06,3.96E-06,-1.59E-03,9.91E+00,1.01E+01,-2.62E-03,5.25E-06,-4.30E-10,4.30E-10,5.25E-06,-2.62E-03,1.01E+01,
70,1,5,0.001,2.5,0.0125,1.19E+01,-1.40E-04,2.64E-06,2.64E-06,-1.40E-04,1.19E+01,1.15E+01,2.15E-03,-2.21E-07,9.56E-10,9.56E-10,-2.21E-07,2.15E-03,1.15E+01,
70,1,5,0.001,3,0.015,1.18E+01,-2.25E-03,3.22E-06,3.22E-06,-2.25E-03,1.18E+01,1.15E+01,-7.82E-04,1.39E-06,6.12E-10,6.12E-10,1.39E-06,-7.82E-04,1.15E+01,
70,1,5,0.001,3.14,0.0157,1.20E+01,-1.75E-03,3.20E-06,3.20E-06,-1.75E-03,1.20E+01,1.19E+01,-1.10E-03,2.39E-06,2.69E-10,2.69E-10,2.39E-06,-1.10E-03,1.19E+01,
70,1,5,0.01,2.5,0.125,1.22E+01,-2.50E-04,2.47E-06,2.47E-06,-2.50E-04,1.22E+01,1.20E+01,7.89E-04,1.17E-06,4.34E-10,4.34E-10,1.17E-06,7.89E-04,1.20E+01,
70,1,5,0.01,3,0.15,1.19E+01,-4.72E-04,2.78E-06,2.78E-06,-4.72E-04,1.19E+01,1.15E+01,1.96E-03,-2.60E-07,1.01E-09,1.01E-09,-2.60E-07,1.96E-03,1.15E+01,
70,1,5,0.01,3.14,0.157,1.15E+01,-2.24E-04,2.47E-06,2.47E-06,-2.24E-04,1.15E+01,1.13E+01,7.24E-04,1.28E-06,3.96E-10,3.96E-10,1.28E-06,7.24E-04,1.13E+01,
70,1,5,0.1,2.5,1.25,1.27E+01,-2.20E-03,3.56E-06,3.56E-06,-2.20E-03,1.27E+01,1.27E+01,-1.74E-03,2.98E-06,1.93E-10,1.93E-10,2.98E-06,-1.74E-03,1.27E+01,
70,1,5,0.1,3,1.5,1.34E+01,-1.18E-03,3.12E-06,3.12E-06,-1.18E-03,1.34E+01,1.32E+01,-4.08E-04,2.16E-06,3.23E-10,3.23E-10,2.16E-06,-4.08E-04,1.32E+01,
70,1,5,0.1,3.14,1.57,1.17E+01,-6.00E-04,3.34E-06,3.34E-06,-6.00E-04,1.17E+01,1.18E+01,-9.76E-04,3.81E-06,-1.57E-10,1.57E-10,3.81E-06,-9.76E-04,1.18E+01,
70,1.5,3,0.001,2.5,0.0075,7.17E+00,-6.06E-04,4.04E-06,4.04E-06,-6.06E-04,7.17E+00,7.34E+00,-1.59E-03,5.27E-06,-4.12E-10,4.12E-10,5.27E-06,-1.59E-03,7.34E+00,
70,1.5,3,0.001,3,0.009,7.40E+00,-1.20E-03,3.57E-06,3.57E-06,-1.20E-03,7.40E+00,7.58E+00,-2.28E-03,4.93E-06,-4.51E-10,4.51E-10,4.93E-06,-2.28E-03,7.58E+00,
70,1.5,3,0.001,3.14,0.00942,7.65E+00,-1.73E-03,4.40E-06,4.40E-06,-1.73E-03,7.65E+00,7.49E+00,-8.26E-04,3.27E-06,3.78E-10,3.78E-10,3.27E-06,-8.26E-04,7.49E+00,
70,1.5,3,0.01,2.5,0.075,7.70E+00,-2.37E-03,4.27E-06,4.27E-06,-2.37E-03,7.70E+00,7.67E+00,-2.20E-03,4.05E-06,7.32E-11,7.32E-11,4.05E-06,-2.20E-03,7.67E+00,
70,1.5,3,0.01,3,0.09,7.50E+00,-1.36E-03,4.13E-06,4.13E-06,-1.36E-03,7.50E+00,7.72E+00,-2.65E-03,5.74E-06,-5.38E-10,5.38E-10,5.74E-06,-2.65E-03,7.72E+00,
70,1.5,3,0.01,3.14,0.0942,7.57E+00,-1.88E-03,4.06E-06,4.06E-06,-1.88E-03,7.57E+00,7.29E+00,-1.76E-04,1.93E-06,7.12E-10,7.12E-10,1.93E-06,-1.76E-04,7.29E+00,
70,1.5,3,0.1,2.5,0.75,7.51E+00,-2.81E-03,4.83E-06,4.83E-06,-2.81E-03,7.51E+00,7.53E+00,-2.89E-03,4.93E-06,-3.26E-11,3.26E-11,4.93E-06,-2.89E-03,7.53E+00,
70,1.5,3,0.1,3,0.9,7.11E+00,-1.58E-03,4.47E-06,4.47E-06,-1.58E-03,7.11E+00,7.51E+00,-3.97E-03,7.46E-06,-9.95E-10,9.95E-10,7.46E-06,-3.97E-03,7.51E+00,
70,1.5,3,0.1,3.14,0.942,7.13E+00,-1.03E-03,4.35E-06,4.35E-06,-1.03E-03,7.13E+00,7.43E+00,-2.78E-03,6.55E-06,-7.32E-10,7.32E-10,6.55E-06,-2.78E-03,7.43E+00,
70,1.5,4,0.001,2.5,0.01,9.90E+00,-1.09E-03,3.58E-06,3.58E-06,-1.09E-03,9.90E+00,9.75E+00,-1.65E-04,2.42E-06,3.88E-10,3.88E-10,2.42E-06,-1.65E-04,9.75E+00,
70,1.5,4,0.001,3,0.012,9.86E+00,-1.19E-03,3.60E-06,3.60E-06,-1.19E-03,9.86E+00,9.79E+00,-7.72E-04,3.08E-06,1.73E-10,1.73E-10,3.08E-06,-7.72E-04,9.79E+00,
70,1.5,4,0.001,3.14,0.01256,9.72E+00,-1.89E-03,3.85E-06,3.85E-06,-1.89E-03,9.72E+00,9.68E+00,-1.62E-03,3.51E-06,1.14E-10,1.14E-10,3.51E-06,-1.62E-03,9.68E+00,
70,1.5,4,0.01,2.5,0.1,9.81E+00,-2.50E-03,4.07E-06,4.07E-06,-2.50E-03,9.81E+00,9.36E+00,2.24E-04,6.57E-07,1.14E-09,1.14E-09,6.57E-07,2.24E-04,9.36E+00,
70,1.5,4,0.01,3,0.12,1.01E+01,-2.00E-03,3.76E-06,3.76E-06,-2.00E-03,1.01E+01,9.96E+00,-1.10E-03,2.63E-06,3.74E-10,3.74E-10,2.63E-06,-1.10E-03,9.96E+00,
70,1.5,4,0.01,3.14,0.1256,9.71E+00,-1.69E-03,3.61E-06,3.61E-06,-1.69E-03,9.71E+00,9.80E+00,-2.21E-03,4.26E-06,-2.19E-10,2.19E-10,4.26E-06,-2.21E-03,9.80E+00,
70,1.5,4,0.1,2.5,1,9.73E+00,-1.92E-03,3.55E-06,3.55E-06,-1.92E-03,9.73E+00,9.68E+00,-1.59E-03,3.14E-06,1.37E-10,1.37E-10,3.14E-06,-1.59E-03,9.68E+00,
70,1.5,4,0.1,3,1.2,1.02E+01,-1.75E-03,3.82E-06,3.82E-06,-1.75E-03,1.02E+01,1.03E+01,-2.39E-03,4.62E-06,-2.69E-10,2.69E-10,4.62E-06,-2.39E-03,1.03E+01,
70,1.5,4,0.1,3.14,1.256,9.59E+00,-1.74E-03,3.77E-06,3.77E-06,-1.74E-03,9.59E+00,9.44E+00,-8.36E-04,2.64E-06,3.78E-10,3.78E-10,2.64E-06,-8.36E-04,9.44E+00,
70,1.5,5,0.001,2.5,0.0125,1.18E+01,-9.00E-04,2.86E-06,2.86E-06,-9.00E-04,1.18E+01,1.16E+01,5.93E-04,9.87E-07,6.24E-10,6.24E-10,9.87E-07,5.93E-04,1.16E+01,
70,1.5,5,0.001,3,0.015,1.24E+01,-1.41E-03,3.05E-06,3.05E-06,-1.41E-03,1.24E+01,1.23E+01,-7.32E-04,2.20E-06,2.84E-10,2.84E-10,2.20E-06,-7.32E-04,1.23E+01,
70,1.5,5,0.001,3.14,0.0157,1.17E+01,-1.77E-03,3.73E-06,3.73E-06,-1.77E-03,1.17E+01,1.15E+01,-3.81E-04,1.99E-06,5.82E-10,5.82E-10,1.99E-06,-3.81E-04,1.15E+01,
70,1.5,5,0.01,2.5,0.125,1.28E+01,-3.07E-03,3.49E-06,3.49E-06,-3.07E-03,1.28E+01,1.21E+01,8.06E-04,-1.35E-06,1.62E-09,1.62E-09,-1.35E-06,8.06E-04,1.21E+01,
70,1.5,5,0.01,3,0.15,1.28E+01,-2.68E-03,3.59E-06,3.59E-06,-2.68E-03,1.28E+01,1.23E+01,5.75E-05,1.68E-07,1.14E-09,1.14E-09,1.68E-07,5.75E-05,1.23E+01,
70,1.5,5,0.01,3.14,0.157,1.14E+01,8.52E-04,2.09E-06,2.09E-06,8.52E-04,1.14E+01,1.12E+01,1.85E-03,8.38E-07,4.19E-10,4.19E-10,8.38E-07,1.85E-03,1.12E+01,
70,1.5,5,0.1,2.5,1.25,1.20E+01,-2.08E-03,3.76E-06,3.76E-06,-2.08E-03,1.20E+01,1.18E+01,-7.15E-04,2.05E-06,5.69E-10,5.69E-10,2.05E-06,-7.15E-04,1.18E+01,
70,1.5,5,0.1,3,1.5,1.20E+01,-2.51E-03,3.87E-06,3.87E-06,-2.51E-03,1.20E+01,1.18E+01,-1.10E-03,2.10E-06,5.92E-10,5.92E-10,2.10E-06,-1.10E-03,1.18E+01,
70,1.5,5,0.1,3.14,1.57,1.25E+01,-1.98E-03,3.10E-06,3.10E-06,-1.98E-03,1.25E+01,1.19E+01,1.52E-03,-1.28E-06,1.46E-09,1.46E-09,-1.28E-06,1.52E-03,1.19E+01,
155,0.1,3,0.001,2.5,0.0075,7.33E+00,-5.99E-04,1.36E-06,1.36E-06,-5.99E-04,7.33E+00,7.19E+00,2.51E-04,3.00E-07,3.55E-10,3.55E-10,3.00E-07,2.51E-04,7.19E+00,
155,0.1,3,0.001,3,0.009,7.56E+00,-6.55E-04,1.25E-06,1.25E-06,-6.55E-04,7.56E+00,7.47E+00,-9.39E-05,5.48E-07,2.34E-10,2.34E-10,5.48E-07,-9.39E-05,7.47E+00,
155,0.1,3,0.001,3.14,0.00942,7.41E+00,-2.05E-05,1.00E-06,1.00E-06,-2.05E-05,7.41E+00,7.86E+00,-2.76E-03,4.43E-06,-1.14E-09,1.14E-09,4.43E-06,-2.76E-03,7.86E+00,
155,0.1,3,0.01,2.5,0.075,8.13E+00,-1.02E-03,1.39E-06,1.39E-06,-1.02E-03,8.13E+00,7.94E+00,8.40E-05,9.24E-09,4.59E-10,4.59E-10,9.24E-09,8.40E-05,7.94E+00,
155,0.1,3,0.01,3,0.09,7.42E+00,-1.02E-03,1.54E-06,1.54E-06,-1.02E-03,7.42E+00,7.24E+00,7.12E-05,1.67E-07,4.57E-10,4.57E-10,1.67E-07,7.12E-05,7.24E+00,
155,0.1,3,0.01,3.14,0.0942,7.48E+00,-1.11E-03,1.57E-06,1.57E-06,-1.11E-03,7.48E+00,7.44E+00,-8.91E-04,1.30E-06,8.98E-11,8.98E-11,1.30E-06,-8.91E-04,7.44E+00,
155,0.1,3,0.1,2.5,0.75,7.90E+00,-1.36E-03,1.41E-06,1.41E-06,-1.36E-03,7.90E+00,7.92E+00,-1.51E-03,1.60E-06,-6.40E-11,6.40E-11,1.60E-06,-1.51E-03,7.92E+00,
